index,stock
NIFTY FINANCIAL SERVICES,HDFCAMC.NS
NIFTY FINANCIAL SERVICES,HDFCBANK.NS
NIFTY FINANCIAL SERVICES,HDFCLIFE.NS
NIFTY FINANCIAL SERVICES,ICICIBANK.NS
NIFTY FINANCIAL SERVICES,ICICIGI.NS
NIFTY FINANCIAL SERVICES,ICICIPRULI.NS
NIFTY FINANCIAL SERVICES,JIOFIN.NS
NIFTY FINANCIAL SERVICES,KOTAKBANK.NS
NIFTY FINANCIAL SERVICES,LICHSGFIN.NS
NIFTY FINANCIAL SERVICES,MUTHOOTFIN.NS
NIFTY FINANCIAL SERVICES,PFC.NS
NIFTY FINANCIAL SERVICES,RECLTD.NS
NIFTY FINANCIAL SERVICES,SBICARD.NS
NIFTY FINANCIAL SERVICES,SBILIFE.NS
NIFTY FINANCIAL SERVICES,SHRIRAMFIN.NS
NIFTY FINANCIAL SERVICES,SBIN.NS
NIFTY HEALTHCARE,ABBOTINDIA.NS
NIFTY HEALTHCARE,ALKEM.NS
NIFTY HEALTHCARE,APOLLOHOSP.NS
NIFTY HEALTHCARE,AUROPHARMA.NS
NIFTY HEALTHCARE,BIOCON.NS
NIFTY HEALTHCARE,CIPLA.NS
NIFTY HEALTHCARE,DIVISLAB.NS
NIFTY HEALTHCARE,DRREDDY.NS
NIFTY HEALTHCARE,FORTIS.NS
NIFTY HEALTHCARE,GLENMARK.NS
NIFTY HEALTHCARE,GRANULES.NS
NIFTY HEALTHCARE,IPCALAB.NS
NIFTY HEALTHCARE,LAURUSLABS.NS
NIFTY HEALTHCARE,LUPIN.NS
NIFTY HEALTHCARE,MANKIND.NS
NIFTY HEALTHCARE,MAXHEALTH.NS
NIFTY HEALTHCARE,SUNPHARMA.NS
NIFTY HEALTHCARE,SYNGENE.NS
NIFTY HEALTHCARE,TORNTPHARM.NS
NIFTY HEALTHCARE,ZYDUSLIFE.NS
NIFTY PHARMA,ABBOTINDIA.NS
NIFTY PHARMA,AJANTPHARM.NS
NIFTY PHARMA,ALKEM.NS
NIFTY PHARMA,AUROPHARMA.NS
NIFTY PHARMA,BIOCON.NS
NIFTY PHARMA,CIPLA.NS
NIFTY PHARMA,DIVISLAB.NS
NIFTY PHARMA,DRREDDY.NS
NIFTY PHARMA,GLAND.NS
NIFTY PHARMA,GLENMARK.NS
NIFTY PHARMA,GRANULES.NS
NIFTY PHARMA,IPCALAB.NS
NIFTY PHARMA,JBCHEPHARM.NS
NIFTY PHARMA,LAURUSLABS.NS
NIFTY PHARMA,LUPIN.NS
NIFTY PHARMA,MANKIND.NS
NIFTY PHARMA,NATCOPHARM.NS
NIFTY PHARMA,SUNPHARMA.NS
NIFTY PHARMA,TORNTPHARM.NS
NIFTY PHARMA,ZYDUSLIFE.NS
NIFTY IT,COFORGE.NS
NIFTY IT,HCLTECH.NS
NIFTY IT,INFY.NS
NIFTY IT,LTIM.NS
NIFTY IT,MPHASIS.NS
NIFTY IT,OFSS.NS
NIFTY IT,PERSISTENT.NS
